Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
great intro course for students with no background experience in CS and who don't plan on pursuing CS in the future. It can be prof dependent though.,"Take the time to combine notes from lectures and the textbook. Overall concepts were simple, but often a bit boring to read about.","I did not enjoy the course at all as I found the course to be so incredibly dull. Personally this honestly had to be one of the hardest courses, but I guess it really is prof dependent, as the final exams this term weren't even the same and didn't even cover the same material.",Quite an interesting course.,Pretty easy course overall! I stopped going to labs about three weeks in and still managed to get the bonus 3%. The assignments were relatively easy (with one or two exceptions).,"No assignments no quiz, just two midterms and a final for my section. Boring but quite easy.","I recommend finding a course with a language that is actually useful. Racket is dumb and never used anywhere. The majority of the course was quite easy, except a couple of concept checks that were RIDICULOUSLY HARD. i wish i had realized sooner that you get 10% of concept checks dropped from your grade. if you understand everything and are getting most things easily but you get stumped on one particular concept check, its probably not your fault and you should skip it, at least for now. the course was very well structured and predictable. expectations were clear and reasonable. it actually was designed to be a correspondence course, so it wasnt an online course that was rushed and slapped together for covid.","Very insightful course. Great if you love number theory. Has more applications in pure math than in other areas, but useful nonetheless for proofs.","Took this course online. Your mark essentially consists of a series of 10 question multiple choice quizzes weekly, 2 discussions, and 2 fully multiple-choice exams. Definitely was not a ""hard"" course, but I definitely do not think this course was as easy as many made it seem. You will need to put in at least a fair bit of effort, time, and devotion into this course in order to ensure a good mark.","I have never thought of or seen math like this before in high school. Being introduced to this course has definitely expanded my horizons on how I see mathematics being applied in the world. It is a challenging course and some concepts are hard to wrap your mind around, however, with practice, it is a doable course. The structure is great and the course is well maintained by the faculty.",Very interesting course. Demands a lot but teaches a lot as well,
"Even though Scheme was a very weird language, it was still an easy course overall, read the modules and you will do well.","useless course, took it as an elective and i needed to work hard, not a bird course for me, never took business inn highschool and also didnt bother to buy the textbook, which couldve helped. lectures everyone were on their phones or playing games on their laptops.","Amazing and challenging course overall. It's totally worth the hassle to override into this course even if you're not in the math faculty. The assignments are brutal to complete as they require so much time to figure out. But I would advise everyone to do them all on their own as they're there for you to develop the thinking you need to succeed. Anyone can understand a solution, but coming up with it is the hard part. It may be very difficult to do this in-between 5 other courses (3 of which are even tougher than Math 135), but it is possible. Good time management skills can lead to you finding more time to work on assignments such as the 10 minutes in-between lectures. The solutions will often feel like it comes down to a lucky guess. In general, the professors are pretty amazing. The math faculty doesn't send random people with thick accents to teach all their first year courses. Even if you do fail, there's still 10 more sections in the winter term where they mark easier, and 2 more sections in the spring where exams get easier. This course makes you a way better thinker when it comes to solving problems, and you'll gain way more out of it than most courses. This course can be an amazing experience to anybody.",Really interesting course. I was lost in class but it was much better when I self studied. NOT AS HARD as people say it is.,"fun stuff, felt really amazing grasping the content by the end. do the assignments on your own, go to all the lectures, and do the randomized practice. you should be fine.","It starts with a very low pace but after midterm, it gets really fast and I cannot understand the content while reaching the end of term. Racket is restricted by so many things so I feel I lose the freedom of coding. The assignments are extremely hard after midterm, I spent a whole day on them but I can just solve the easiest one. The only positive impression that I have is that the design recipe weighs half so I pass this course successfully.","It is important to go to the lectures, because that is the determinant factor of your grade and how good you will understand the course content.","By far the most interesting course of 1A. Teaching proof techniques is the main focus of the course, and is done quite well -- but all the topics that we touched on (gcd, complex numbers, modular arithmetic), were interesting too! One assignment a week, which usually took 3-6 hours, plus three Mobius quizzes a week, open for 24 hours each. The midterm was challenging but still fair, and the final was much easier. My only regret is not taking MATH 145 instead. If you are anywhere near the Euclid score cutoff, you should apply for the advanced courses instead -- you will likely find 135 to be fairly easy.","where do I even start, horrible prof, horrible class, made no effort to teach, everything was taught through reading the textbook, the class was made up of weekly quizzes, a midterm, and exam, which were all BS. The only reason I did good was that I took Econ in high school lol.","A difficult course coming from high school. The proof techniques are definitely useful to know if you're heading into Pure Math or something, but less relevant to a CS major. Nice to know, still. Makes me feel smarter.","Course was easy until immediately after the midterm, where it suddenly ramped up in difficulty (RSA in particular threw me for a loop). Assignments were much harder than any of the exams, so don't be discouraged if you can't do them. People hype this course up - it's challenging, but not impossible to do well in.",
"Majority of the material is only for math students. As a CS student, I was incredibly bored most of the term.",i had conrad hewitt. i didn't learn anything in class because he went so fast. honestly the notes for this course are really well made. i just went to the tutorial centre at mkv to finish off all the assignments with a LOT of help. pulled a decent mark somehow tho,"Interesting course because problem-solving is interesting. However, sometimes it gets boring (i.e. prime number stuff, modular artihmetic) because you know that you'll never apply this knowledge in real life (at least for me personally). Assignments are really annoying because sometimes they allow for basic hand-waving and other times they arbitrarily demand absolute rigour. As a result, you have to constantly browse Piazza to see what you can hand-wave and what you can't.","BE WARNED! This course is VERY challenging for those who are starting to do proofs. A lot of things get thrown at you very quickly, and it is hard to keep track of everything. Assignments took VERY long each week. Definitely NOT an easy course.","Probably the hardest first year course, a course solely on how to prove things. It is invaluable if you are pursuing a cs degree however.",Pretty sure you have to be retarded to fail this course. Casual course to boost GPA. Literally you can jerk off do w.e the f*** you want in class. Just review slides b4 midterm/exam and your gucci.,"Don't really like this course, but love the prof YIchun Huang! If you have her, just go for it! Hint: she uses test banks","Took this in person F2020, it truly opened my eyes to the world of real mathematics. Well-organized course with quite a few amazing prof. I had Faisal, really enjoyed his lectures and he was active on Piazza as well. The first half of the class teaches you proof techniques and some basic mathematical logic (which you will see again in CS 245), then second half goes into elementary number theory stuff (prime numbers, division theorem, modulo) and complex numbers. The weekly assignments were tough and I always do them 2 or 3 days before deadline so it was not a nice experience at all so my tip is to start them asap and get help from instructor or TA whenever you get dead stuck. I regret not going to office hours and had to suffer hard.","Jokes class. Took it with a prof who does nothing from the textbook and I swear he made up the whole course. Midterms and final are an easy 90, if not 110",,This course requires a complete shift in the mathematical thinking that you have done in high school so expect to spend a bit of time to get it right and understand how to solve the questions. Otherwise memorize all the theorems and definitions and you will be fine.,
The programming language (Scheme/Dr.Racket) wasn't a very good program to use but the concepts behind it are the same I guess ...,hard as hell... get a tutor and pay attention in class. do the assignments on your own as much as possible,"I can see the course being useful for other students, however I don't see the application to my daily life personally. I disliked this course strongly, due to my struggle with math and economic concepts, and was unfortunately required to take this course. Would not have taken it otherwise.",Very useful course,"When I say easy, take it in moderation. To many people, this will be the hardest 1A course you have.","Can't really speak to its usefulness, but it is a tough course for most people. It's very different from what we've been learning so far so make sure you attend lectures and do the assignments. Do not procrastinate on the assignments as you will regret this when midterms or finals come around. Practice using the theorems and practice the different proofs. Midterm and final are quite reasonable if you put in the work during the term. Final has a couple computation questions which are your easy marks so make sure you get those!",Make sure you memorize all of the propositions and theorems!,A course on proofs. It surveys topics in number theory to provide examples of theorems and their proofs. The content on things like modular arithmetic and complex numbers is less useful than the practice students get writing proofs.,No help or explanations in online course just give quiz let answers,,"Really good course, make sure you do a lot of practice. But watch out, you're professor can dramatically impact your experience in this course.",
"Really good course, the base of cs245.","As a math students, much of my time was wasted in this course. We had lectures on basic knowledge such as how to calculate the slope of a line and how to read a graph. A waste of my time. Should have taken my transfer credit from AP.",UGH :( the horrors of this course will haunt me for the rest of my university life,"Very interesting course, material can be challenging but that is part of why I liked it.","Arguably the hardest course in 1A for any first year in the faculty of mathematics. You really have to put the work in to understand the concepts which are not exactly easy to grasp. Assignments take many hours, midterm was fairly easy and final was fair. Good luck to anyone taking this course, just remember not to panic, you will be fine, everyone goes through the same stage and eventually we all survive.","Really easy and useful to know, all exams are multiple choice :) very useful for understanding political platforms and world issues (also just useful if you want to do anything in business)",Easy course (if you get the right prof).,"The course forces you to really understand proof techniques, and how exactly to prove things. This idea of proving things becomes very important in the future, so it is appropriate for students to take Math 135 as an early course. Proof-type questions can either take forever because you don't know how to approach the problem or have logically consistent arguments, or they can be done very quickly if you see what exactly you need to do and you are confident with your answer. Personally, I liked the proofs portion of the course more than the computation concepts later on since the elegance and conciseness of proofs are more appealing than repetitive computations. Overall, the course does a great job of getting you into the feel of University; it could make or break you quite easily.","Similar to the review before me, I took the online version. There are zero synchronous lectures, so be prepared to spend circa 3-5 hours every week trying to memorize the course content which is presented on UW Mobius. Another peculiarity of this course is the lack of any useful practice problems. The concept checks on UW Mobius are very elementary, and they are not a representation of what you will be evaluated on during the midterm and final exam. Although this course features weekly quizzes, you only have access to your grade after completing them. As a result, you will not be able to re-visit the weekly quizzes before the assessments to learn from your mistakes.",,Assignments were generally easy. Do the practice problems throughout the term and go to res tutoring or the tutorial centre if you need help with a question. You need a 60% in the course to pass.,
"It's pretty much an introduction to computer science concepts like recursion,BSTs and other abstract data types. It's VERY useful if you have no prior experience with programming.",Introductory course to microeconomics. Not hard at all if you read the textbook and make notes. I only spent two days studying before the midterm and the final and ended up with 80+.,"Got a 60 by taking a shit on the tests, by far the most useless course in my undergrad. The ONLY things that I use are the proof techniques. All the theorems are complete garbage.",I wouldn't say it was an easy course but it is definitely manageable. Midterm was not easy but finals was quite light. Definitely the course I enjoyed the most as I learned a lot.,"Fun, but the topics get too abstract nearing the end. The first half of the course was much more enjoyable and useful imo","The averages for the midterms were in the low 70s (harder to get a higher mark because there were only 27 scantron Q's every midterm). Concepts were easy to understand - application is the harder part. Aplia isn't useful, but she did post another link to practice questions before the exam and that really helped me. You'd be OK just studying from the powerpoints. Textbook is only if you want a better grasp of concepts.","The only way to do bad in this course is by not managing ur time properly. This is a mistake I made when we had to work with modules. As long as u properly manage ur time and do assignments and concept checks well before the due date, you will have a great time in this course. Also try finding connections between assignments and try finding some real world applications of racket. Trust me Racket is very useful. The only criticism I have of this course is how the course is taught because it wasn't taught. (this is when I did online.) I had to understand all concepts by myself by basically reading texts. Although There was plenty of opportunity like office hours to ask for help, I only realized that towards the end of the term. Very unfortunate :(",Basic math knowledge.,"Took online but in person classes. My prof, Koeller, was extremely helpful, definitely the best prof I've experienced thus far. The content is relatively interesting, but the weekly written assignments were made extremely difficult and were significantly harder than the content taught in class, almost to the point of absurdity. Aside from that though this is about as interesting as math can get.",,"This course was personally very easy for me and I enjoyed it very much. You learn the foundation of theory, proofs, elementary number theory and crypto. Really try to learn from this course; the assignments are tough and the exam was half the difficulty of the assignments (which is good).",
They teach Dr Racket in this course. No one ever uses Dr Racket. This is waste of time but can't skip it either.,Hardest Class in 1A! Study until your hand hurts from those proofs. Also post midterm is much easier than pre-midterm.,Pretty cool course. They teach you a bunch of number theory and a lot of it is very interesting.,Interesting course was generally fun to learn its contents. Assignments were more difficult than midterm though...,tough course. hardest course for my first term,"im lucky i passed this course, i would never want to this ever again....",Note: The curriculum has changed since I took this course.,You gotta get used to proofs if you're a math student.,"Not a bird course online imo, instructors barely interact, and almost no practice material is given (outside of a textbook with bad quizzes).",,"Get the course notes and read through them if you're having any difficulty with any topics. Could probably just learn the whole course from the course notes, but lectures are still useful for examples and different methods. Lots of new stuff from high school, proofs scared the living daylights out of most before we got used to them, but it became easier with a bit of practice. Just a matter of getting used to the creative way of thinking. Very interesting course if you want to understand some number theory",
"Joke course if you're a CS major who is taking it just to get a good CAV (to transfer from regular to co-op, that is).",Get the study guide. You'll thank me later.,"This course is feared by many first year students and I can see why. For the people that do fail, it is mostly a case of them not adapting to university level math aka no more easy plug and chug. This is a beautiful course if you can appreciate math and logic. That being said, I did not find this course easy. Assignments take very long if you are trying to get perfect on them. That being said, I do recommend trying to get perfect on them, though sometimes it is wise to let one question go. To succeed in this course, I'd recommend reading the course notes which were super useful in understanding the basic material. Do your assignments and do well on them. Clear up all your confusions in tutorials or office hours and definitely use Piazza. A lot of students I find avoid Piazza, but in my term W2015, the profs on Piazza were amazing and almost always online. They were extremely helpful with assignments without giving answers away as long as you showed to them you were making progress and trying to solve the problem. With all this being said, I ended up doing rather poorly in this course (high 70s) for the amount of effort I put in due to doing poorly on the final. You definitely need a clear head for the exams since they involve proofs, something I lacked that day.","Very challenging course with a lot of content - requires a lot of work, but it's definitely useful and interesting for future courses.",This course kills a part of me. It is quite possibly the driest course I have taken at Waterloo so far. The hardest part of this course is trying to muster the motivation to learn about the stupidest concepts ever.,"Before midterm is every easy, but things go tough after the midterm",Sedra Smith recommended me this course so I don't end up like one of those pig 4 students. I did very well and am happy about my life choices.,A real math course. You will learn how to actually think mathematically since you probably don't know yet. An excellent course for the very foundation of math.,"Avoid the online course but, it has a nice bell curve",,"One of the more interesting math courses, difficult at first but really improves and tests logical thinking ability. Make sure to do every assignment question and fully understand the solutions to do well",
fuck i hate design recipe. your lose marks for nothing!,"you gotta at least pay attention in class, or do homework",Fascinating course that ramped up in difficulty after midterms.,Interesting yet challenging course.,One of my favorite classes of undergrad. It's very reasonable as long as you start the assignments early on your own and don't copy off of others,Really easy. I had no previous coding experience and I picked it up the concepts super quickly. You have to go to class though. Slides are NOT enough,"I like proofs. But not because of this course, but because of Math239 which is a descendant of this course. You will learn LOTS of great techniques for proofs, you may hate it or love it. I would say this usually depends on the professor. I got Shane Bauman, not sure if I liked his style, but for sure he was very energetic. Shane is a great teacher, but his pace is very fast for many. I would personally NOT recommend him since he doesn't post notes online for students to catch up. Go with profs who (may go fast with their lectures but) post their notes online.","The first part is useful, it shows me some justifications on what is different from what I learned in high school (something like 0^0=1). The second part is annoying, since I didn't learn number theory in high school, so it's hard for me to cope with difficult questions. When it goes to Prime Number, there are questions I have no idea to get full marks (question itself is easy to answer, but no idea how to avoid losing partial marks, fortunately, TAs are willing to give full marks) The third part RSA (application on number theory) is really interesting. Overall, easy course with a high grade because there are 2 free bonus marks. The final exam is hard. Some questions you have no idea how to get full marks even if you know how to solve them. If you have done many proofs in high school, easy 90+ as an online course. Just using Excel to make a calculator. EEA helps a lot.","Took this course online by Prof Wendy Roth, easy course, but felt 102 is easier than 101.",,"Was a nice way to learn recursion, which is essentially the purpose of this course. They also give a lot of free marks with a 3% lab bonus - DO THEM! That 3% can make a big difference in your mark.",
,"Not very useful as an elective, but I suppose it gives a better understanding of how markets work. It was very easy - I just had to read lecture slides. The midterms and final exam are all multiple choice.","Not an ""EASY"" course at all. Anyone commentating that is probably a Math/Eng student who is already familiar with coding through other courses. Since the midterm/exam is on paper, you have to be able to imagine what your code is going to be able to do without actually testing it like you do in your assignments! Speaking of assignment, they're bloody hard! No joke, it might take you an entire day to problem solve your way through them and that might not even be enough - incredibly frustrating course and not recommended unless you really want to study coding in the future. DR. Racket is not even applicable to most organizations. If you want to learn coding, just pick up something off Amazon or get a pdf through a friend - don't spend money here unless you're actually planning on continuing studies in CS.","Definitely a challenging course, especially if you have no prior experience with writing formal proofs. Just make sure that you practice the concepts by finding question banks online and you'll be fine!","The end of the course became quite tough but otherwise this was pretty manageable. Excellent professors and ISA's who always take our feedback and concerns into consideration to make the course experience better, including having office hours very late at night and very early in the morning. The online platform is also excellent and fun to use.",Learn nothing but gain a super high mark. Good course for those who want to switch programs or apply coop. Everything is common sense so nothing needs to memory.,"The course notes textbook make this class a breeze. Make sure you fully understand theorems, lemmas, etc if you want to do well.",the basic of math,"Can be difficult at times, but a very rewarding and fun course. Definitely made me like CS as a non-CS student! Start assignments early and definitely go to office hours. TAs and ISAs are very helpful.",,"I really enjoyed this class! It was quite difficult, but I learned a lot!",
,"Very easy course and the material was interesting enough. Dry at some points but it's just memorization for those bits. You don't need to go to lectures, you can just read the textbook and do study guide questions. Was an easy 95+.",Very useful course. Anton is a great prof who actually cares about his students. It does get hard towards the end of the course but there is always help available when you need it.,"Not easy, but what I will say is that I loved just about every concept we covered. It was truly interesting, challenging (but not challenging to the point where I felt I couldn't do it). Really just one of my favourite courses I've ever taken.","Pretty good online, First half is deceptively easy, second half gets much more difficult, especially exam. Pretty good introduction to proofs",I passed with a 75 and still don't know anything about economics,"Easy pass, just go to class.",Proofs are a pretty big shift from high school math,"Olivia Mesta was a great professor, made the material extremely clear and easy to understand. Weekly quizzes on Aplia were time consuming but helped you understand the material better. Multiple choice exams were very easy.",,"Don’t be mistaken, this course is tough. It will teach you pretty much the foundations of UW mathematics. You need to listen and spend a lot of time just thinking about the problems. Take some time with the course and you’ll enjoy it a lot.",
,"With Prof Corey (Cornelis Van De Waal), I didn't have to look in the textbook or use the workbook. I studied straight from his slides. The only case which I would have used the books is if I were aiming for a perfect 100% in the course (which is doable), but I wasn't.","This is a very well-organized course, which is great, since it is likely your first introduction to proofs, which will be absolutely central to any future math courses you take. Take note that the math in this course is very different from high school math and will probably require you to shift your thinking about mathematics from one of computation to one of puzzle-solving. Make sure to start the weekly assignments early since they can be a little unpredictable in how long they take. Also, every lecture day there is a 24-window to complete a Mobius quiz, which cumulatively count for 10% of your grade, so remember to do them (they can be easy to forget).","Pretty difficult course, but very useful for future years.",easy and light first year course,Please be very careful about the design recipe (especially tests and examples),"Highly recommend doing the readings, and assigned questions and trying to understand the course material in addition to just the prepared lecture slides. A lot of memorizing and understanding of graphs. In the end all of the content builds on itself so make sure to understand what you are learning as you are learning it. The best prep is being able to draw the graphs, and also to do the multiple choice questions in the handbook.","Could've just been the lecturer (Allison Mascella) I had, and found it hard to understand topics (since she didn't offer much clarification). You can understand topics in the real world context and therefor found it useful",it wasn't that hard but the prof made it complicated.,,"Fairly easy course overall, enjoyed the class a lot. Carrie Knoll was an excellent lecturer.",
,Wasted my elective on this when I could have taken much better courses.,"Easy course if you study, Hard course if you're too lazy to put in the time.",It is a useful course but definitely not easy if you never prove before.,Fun and useful course!,Two words: WOKIA KUMASE,"Not bad, do the modules, I didn't need the textbook","A transition course from high school math to university math. Quite a lot of important proof techniques were taught and you have to really understand the concepts and apply them other than just simply memorizing them. Proof questions in the assignments are usually much more challenging than those in the midterm/exam so don't get discouraged if you cannot solve them. Do more practices and seek help and you will be fine. Be sure that you can solve all the computational problems in the exam as they are ""easy"" marks!","I really enjoyed this course online, being co-taught by 4 professors. There were lots of office hours available to help and all of the TA's and Profs in office hours were helpful and kind. While the programming language used is not useful elsewhere, I think it is easy to understand and helped get the point of the course across. In my opinion, the point of this course is to teach you to think about solving problems and the process to go through, as you are not creating ground-breaking programs. As a student with no prior programming experience, I found this course both useful and easy if you kept up with the content and got help as soon as you needed it. The course was organized well, and the built in questions made sure you were on the right track. The assignments are fair based on what you learn. Go in with an open mind and keep up with the content and you should be just fine.",,Its not entirely easy but you learn really a lot from this course and most concepts are very fascinating. Personally I struggle more with complex numbers than number theory.,
,Interesting and easy. Make sure to do exercises after class. I dont think it is necessary to read the textbook unless you feel like to do so.,"Classes teach you nothing. Getting and reading the textbook is a must! I sat for three hours trying to keep up with the graphs being drawn and didn't have any time to comprehend what was being said. Nafeez doesn't allow photos to be taken of her notes so you couldn't even take a picture to give you time to listen. Unless you have some sort of economic background, you will be struggling through teaching yourself this course.","Learning how to do proofs...well, this course wasn't very interesting especially if you are not of the math type. Assignments are difficult. Midterm was easy and final was easy-fair though.",loved this course,,"It is an useful course but make sure you choose the right prof. Do not take with Wokia because you can't understand anything. Micro is more mathy of a course so if you are good at logic or maths, this course would be easier than macro for you. But for non mathy students, this course would be challenging. The final was difficult too.",A lot of Math that you probably didn't see in high school.,"Weekly assignments are not worth much, but are difficult. Weekly labs. 1 midterm, 1 final. Doing the labs will greatly help with the assignments. Asking questions to TAs and prof will help a lot.",,Probably my favourite course in 1A. Easy to do well in the course and the staff put the learning materials together really well. Really enjoyed this course since it teaches you about the art of problem-solving and the creative components of mathematics. If you stay on top of the material and start the psets early enough you'll do well.,
,"Very boring class, most people seemed to be playing Hearthstone. I would not recommend, unless this course is a requirement for you.",You can get by without much studying. Don't take it online if you have the choice,hard but study then not hard but might still be hard,"Entry-level cs course, no complicated stuff,easy assignments and midterms.",,no need to go to class,"A large variety of mathematical theorems, but most importantly proofs.","Racket sucks, but the content of the course was easy enough to digest if you never did programming before. Seek help if you need it (early) and don't be afraid to talk to the TAs and profs!",,"As someone who did a lot of math contests in high school, I found the course very exciting, and provided me with a new perspective and appreciation for language and proofs in mathematics.",
,"Read the text book, do those multiple choice questions from the study guide then you will be all set.","Weekly assignments are killer, but just be sure to get help if you fall behind. The course is not something to take lightly - the concepts are far different from the ""algebra"" you learn in high school. Proofs, proofs, proofs! -- This takes practice and time; so be sure to set aside time to work on these outside of your normal schedule - you're going to need it!",Good course. Exams are much easier than the assignments. It feels very rewarding when you figure out proofs.,Great introduction to math@UW! LOVED this course.,,Very dry and boring. All MC questions. Everything from the textbook. They try to trick you in some questions.,"If you do poorly in this course, you're probably not cut out for ""real"" math.",useless but easy to get a good grade,,"Learned a lot on how to properly write proofs and different mathematical ways of thinking. If you were even a bit serious about contest maths in high school, this course is an easy 90+. Also, Anton is just absolutely goated -- if you have the chance, join in on one of his lectures or even just read his lecture notes!",
,"As a science student with no background knowledge of business/economics, its not too easy. Yes the concepts are easy but if you dont read the textbook and actually put in effort you wont do better than high 70s.","It you get stuck on an assignment, take a break and revisit later. Don't let assignments become a time-sink.","Very interesting course, but requires dedication. Attending tutorials and doing ALL exercises is a good idea.","When I was taking this class, I had a casual conversation with my professor during which he told me that, though it starts off slow, it is actually possibly the hardest class in the maths faculty. And so I went ahead and braced myself for what was to come. To this day, I have no idea what he was talking about, and his seemingly sincere words continue to baffle me. This class was an easy ninety, and quite enjoyable as well. All the little proofs they give out are so satisfying to solve -- the same tranquil pleasure of sudoku or a crossword. I'm half tempted to publish a little booklet of them. I think I'm going to miss this class a little.",,This course is important to understand as it sets you up for the future with Linear Algebra.,Was really interesting to learn about RSA encryption and modular arithmetic in general.,You don't get the results of your quizzes which is sooo stupid. How should we understand where we went wrong if you don't tell us? I hated the quizzes but the discussions were easy marks if you post enough.,,Course basically taught itself,
,"Took it as a bird course. Sure, it was birdy, but it was really boring.","Easy bird course for any student looking to fill an elective. Course goes over a lot of concepts in a super broad manner, interesting for anyone looking to learn a little bit about economics concepts/terminology. Passed by studying all the lecture notes a few days before the midterms/final. All multiple choice!","Assignments are difficult, tests are easy, extremely useful",First course that teaches you what UW math is all about. You'll probably hate it.,,This course tests your logic,Almost all proofs in this course. Also covered RSA encryption which was kind of cool,"The online version course is very well structured. You get some check your understanding questions after each topic which is very useful and helpful. There is 10 weekly quizzes and 10 weekly written assignments in this course. This course starts very easy but gradually becomes more difficult, especially after the midterm. However, it is a very interesting course!",,"If there's one class you don't want to fall behind in, it's this one. Each new concept builds onto the previous one. If you're like me and don't have much experience with number theory or really any math outside of high school math courses (which you did well in), this will not be an easy course. A lot of the math is new and abstract. Make sure to do as much practice as you can to familiarize with all the theorems (there are a LOT of theorems). The final exam is worth 60% so even if you do well on the weekly assignments and midterm, you still have to study hard.",
,Use the study guide! Very helpful.,"I know a lot of people say this is a bird course, but I would say this: don't take a course just because it's birdy. Take something you are interested in, or you will end up doing so bad that you need to drop the course. At least that is what happened to me for this one.","Great course, I really enjoyed it. Not easy persay, but definitely not time consuming or difficult to understand.","All multiple choice, all about memory and understanding. One of the easiest courses in first year",,Make sure you get a good prof and it won't be too bad.,"Easy course, understand all the proof and theories and you will get high mark in this course easily",Trust the test bank and you will get mid 80 while just spending less than an hour a week,,"Pretty easy proofs course coming from a non-proof heavy background. Just do the weekly assignments and understand them (i.e. don't just get the answers from someone else, do them yourself), and lots of practice outside of that.",
,Do not take with PM (literally forgot prof's name cuz I never went to class). You will see why.,"Third time taking this course. Third time's the charm. Fun, though it's the bane of my existence.",Was a good course. Very interesting and stuff.,Super fun and well run course. Great intro to proofs.,,make sure you do the study guide questions and go to review sessions and you will get a lot of practice questions from upper years,This course is totally a easy course in university.,"Every week, your mind will be blown due to how insane some of the proofs become.",,"One of my favourite courses. Learning to do proofs is very useful directly in later courses, but also is a good way to think about things past proofs in courses",
,"Easy class, gg",NOT A BIRD COURSE! DON'T TAKE THIS SHIT!,"Various concepts were interesting, but unless you are prepared to work for it, it's not very easy.","Pretty simple stuff, watch Khan Academy and you'll be way better off. Very prof. dependent IMO, if you get a shitty one, you gotta teach yourself",,You don't even have to come to lectures.,I have no idea about my prof. That's it.,go to office hours and practice,,"This course does not test one's ability to study. This course tests once's ability to think. As such, to do well in the course, you'd better just be a naturally smart person, or else you are going to have to slog away at practice problems for dayss",
,Pay Attention and dont slack,Teaches you the essence of mathematics.,"The material is quite different from any math I have seen before, but it is generally straightforward. Some of the assignment questions were hard.",Hardest course I've taken. Barely passed.,,The assignments usually need time to be thought.,Easiest CS course this university has to offer. Basic math and you're good to go.,last 10 points,,"Do the assignments and practice problems and you should be good on the course! The course notes are really useful so read them regularly. Lectures aren't the most useful, but they do give tips on how to use formulas and theorems.",
,Super easy elective. Honestly kind of a joke of a class.,"The education quality is significantly impaired with no doubt since we are doing it online. Reviews before COVID was mostly positive. But after COVID-19, a lot of them are negative. I think that reflects something. Assignment were thrown into your face like you just have one class for the whole term. For me, I believe the material we learn and the assignment we need to do is inconsistent in terms of difficulty level. The gap between them is just huge. It often took me eight to twelve hours to finish the assignment. Don't take this if you are doing online.","Personally I thought the course was really easy-- at first. But don't let yourself slack off, because otherwise you will find yourself easily confused and lost as you fall further behind. Material gets harder as course moves along. Course material is still very relevant in other courses and in the future.",it's great to have a course teaching you how to prove,,"they dont go into specifics with the maths which ironically makes it harder for me because it involves more memorization of results as opposed to memorization of concepts. might be good or bad for you instead, who knows",Welcome to Waterloo Math.,,,"Do the assignments, practice, and you'll be fine.",
,A whole lot of proofs. It is not likely that you will ever use more than 10% of the course content ever again.,My friends said this couse you can get 80+ even you are not go to class. But that is not right at all.,Useful and relevant course. Well structured and interesting.,"If you ever get Packalen, switch to another section plz lol (tough prof with short-answer exams out of 20 and doesn't give part marks)",,"In the beginning of the term this course felt very useless. However, that was the most childish a wanna be theoretical physicist can tell himself. A lot of what you will learn in this course will be useful as it will be the foundation of the mathematics you will need to solve a lot of theoretical physics problems. A lot of what u learn in this course is also useful in proving equations u derive as a physicist. You will learn things like Complex numbers, Methods of Proof, The Binomial Theory, Summations and repeated multiplications. All of these concepts are useful for example when we try to approximate equations in Physics, a good understanding of Summations is required. Binomial theory may be used to expand Relativistic kinetic energy equation. Lets say u as a mathematical physicist derived an equation some how. Now u want to make sure that the equation is valid, a basic knowledge of what u learn in this course may be helpful. Complex numbers can be spotted in Schrodinger's Wave Equation. If u are serious about physics, don't take this course lightly. Although this might be an over exaggeration but I feel like this course is as important as Calculus. So In calculus you will be asked to derive Taylor polynomials, how will you do that without a basic understanding of Summations? Although the science mathematical physics students donot have to take this course before taking math 136 (linear algebra for honours math), this course is very useful in math 136. The proof techniques you learn in this course like Proof by Strong induction may be useful in Linear algebra. And all physics enthusiasts know the importance of linear algebra in physics. One can finish most of math 137 (calculus) assignments without having to look at lectures (I donot recommend this) and get a good grade. You cannot even solve the first question in math 135 before fully understanding all concepts in the lectures. I personally very much disliked this course mostly because the math learned was very new compared to what I was taught in school and it was difficult to understand these ideas. But I did enjoy learning about the new concepts. but I understand that the content taught is very important. Therefore, if u are an apprising physicist, take the course seriously. If u like pure math take this course seriously, if u like CS take this course seriously. If u like Finance take this course seriously. If u like painting take this course seriously (u need to understand the golden ratio to figure out how to make ur art perfect). Regardless of ur major, please don't undermine the value this course provides. This course sucks no doubt, but it is hella useful so pay attention in class and do all assignments even though u can drop one. A criticism I would have with this course is the lack of applications. Although this course content has many applications the course is designed in a way that suggests that there is none except in pure math. I would like that to change. And if possible please make a physics based Math135 and math 136 please and thankyou.","A nice intro to coding, especially for those who probably won't take more in upper years; it's good to know the basics.",,,good course but requires alot of studying not as bird of a course as people think!,
,Bird course.,"Go to the TA's for extra help(they offer free private sessions) and the class is not so bad, even for first time computer science students!",It is definitely one of the most interesting courses in my first year as it is the course that has the most new content compared to the other courses. The course was certainly challenging though I'd give it that but I did learn a lot from it. The most important thing about the course I'd say is PRACTICE!,Should be a breeze and quite fun if you love competition math and proofs. Loved the number theory the most.,,This course can go fuck itself,,,,"The first 2/3 of this course made lots of sense, the last 1/3 I really struggled with.",
