Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"I have never coded before so i opted to take this rather than CS135. This was really easy for me. I'm glad I took it though becuase it saved time so I can focus more on actual courses for my major (MATH145, PHYS121 etc). Don't expect to be able to code anything after this, especial since you use dr Raket. And the design recipes are a pain, my tip is put 20 test cases for everything.","I have never thought of or seen math like this before in high school. Being introduced to this course has definitely expanded my horizons on how I see mathematics being applied in the world. It is a challenging course and some concepts are hard to wrap your mind around, however, with practice, it is a doable course. The structure is great and the course is well maintained by the faculty.",Good course. Exams are much easier than the assignments. It feels very rewarding when you figure out proofs.,"This course really expands my thinking as a mathematician. It starts easy and gradually builds up the level of difficulty. Some assignment questions near the end of the course really take time, but also intriguing. I could spend a day just to finish an assignment without being bored. Overall, this is my favorite course in 1A and I did learn a lot of fun stuff.","Various concepts were interesting, but unless you are prepared to work for it, it's not very easy.","Very interesting course, but requires dedication. Attending tutorials and doing ALL exercises is a good idea.",Very hard course. Got bumped up to a 60 after failing the exam and got fucked over in math 136. I however would not do this course again and would not wish this course upon my greatest enemy. It is hell.,"Not that hard compared with MATH 137. Quizzes and written assignments constitute a large portion of the final grade. Written assignments are usually hard, which takes days to complete. It is recommended to participate in office hours when instructors usually give hints for the assignments."
"A nice intro to coding, especially for those who probably won't take more in upper years; it's good to know the basics.","If there's one class you don't want to fall behind in, it's this one. Each new concept builds onto the previous one. If you're like me and don't have much experience with number theory or really any math outside of high school math courses (which you did well in), this will not be an easy course. A lot of the math is new and abstract. Make sure to do as much practice as you can to familiarize with all the theorems (there are a LOT of theorems). The final exam is worth 60% so even if you do well on the weekly assignments and midterm, you still have to study hard.","Basic econ stuff. If you took econ in high school, it'll be pretty easy. Otherwise you might have some trouble, but it's still decently basic stuff, and concepts that can be explained by YouTube videos. The majority of the midterm and final questions (all MC) are from test banks if you can get those. Entire mark composed of two midterms and a final.","The course was relatively easy, but the midterm was setup poorly - the focus was not on core concepts but on the exactness of the stepping problems, which I don't think is useful at all.","Take the time to combine notes from lectures and the textbook. Overall concepts were simple, but often a bit boring to read about.","Took this in person F2020, it truly opened my eyes to the world of real mathematics. Well-organized course with quite a few amazing prof. I had Faisal, really enjoyed his lectures and he was active on Piazza as well. The first half of the class teaches you proof techniques and some basic mathematical logic (which you will see again in CS 245), then second half goes into elementary number theory stuff (prime numbers, division theorem, modulo) and complex numbers. The weekly assignments were tough and I always do them 2 or 3 days before deadline so it was not a nice experience at all so my tip is to start them asap and get help from instructor or TA whenever you get dead stuck. I regret not going to office hours and had to suffer hard.",Very useful course,No help or explanations in online course just give quiz let answers
Since I had prior programming experience this course seemed kind of useless. The language is good for teaching though.,"The course forces you to really understand proof techniques, and how exactly to prove things. This idea of proving things becomes very important in the future, so it is appropriate for students to take Math 135 as an early course. Proof-type questions can either take forever because you don't know how to approach the problem or have logically consistent arguments, or they can be done very quickly if you see what exactly you need to do and you are confident with your answer. Personally, I liked the proofs portion of the course more than the computation concepts later on since the elegance and conciseness of proofs are more appealing than repetitive computations. Overall, the course does a great job of getting you into the feel of University; it could make or break you quite easily.","If you ever get Packalen, switch to another section plz lol (tough prof with short-answer exams out of 20 and doesn't give part marks)","One of the more interesting math courses, difficult at first but really improves and tests logical thinking ability. Make sure to do every assignment question and fully understand the solutions to do well","useless course, took it as an elective and i needed to work hard, not a bird course for me, never took business inn highschool and also didnt bother to buy the textbook, which couldve helped. lectures everyone were on their phones or playing games on their laptops.","I really enjoyed this class! It was quite difficult, but I learned a lot!","BE WARNED! This course is VERY challenging for those who are starting to do proofs. A lot of things get thrown at you very quickly, and it is hard to keep track of everything. Assignments took VERY long each week. Definitely NOT an easy course.","Didn’t take any econ courses in high school. This course was really easy, no need to read the textbook, the course notes are enough. You get 12 weekly quizzes, 2 group discussions, 1 midterm and the final. The first weekly quiz is ungraded and then the marks of 10 best quizzes out of 11 are considered which amounts to 40% of your grade. We also have 2 group discussions worth 10% each which are very easy. You can easily get a 9/10 in the discussions. The midterm contained 50mcq and the final consisted of 50mcqs and 5 short answer questions. Prof kumase did some review sessions on webex occasionally. These are recorded and can help you understand the concepts more clearly. It’s definitely a bird course. Spent only about a maximum of 4-5 hours per week. Ended up with a 93."
great intro course for students with no background experience in CS and who don't plan on pursuing CS in the future. It can be prof dependent though.,"Omg, one bitch of a course. But it got interesting later on. It shows you how to formalize your proofs and give you a better understanding of proof techniques used later on.","The averages for the midterms were in the low 70s (harder to get a higher mark because there were only 27 scantron Q's every midterm). Concepts were easy to understand - application is the harder part. Aplia isn't useful, but she did post another link to practice questions before the exam and that really helped me. You'd be OK just studying from the powerpoints. Textbook is only if you want a better grasp of concepts.",This course requires a complete shift in the mathematical thinking that you have done in high school so expect to spend a bit of time to get it right and understand how to solve the questions. Otherwise memorize all the theorems and definitions and you will be fine.,Easy course if you NEVER took econ before.. probably extremely boring if you have taken econ before. All exams are multiple choice,"Personally I thought the course was really easy-- at first. But don't let yourself slack off, because otherwise you will find yourself easily confused and lost as you fall further behind. Material gets harder as course moves along. Course material is still very relevant in other courses and in the future.","Was fun at first as it's similar to competitive math, but as the term goes on and assignments pile, it's not that great. Assignments are based somewhat on the material but it will take a long time just to finish one question.","Very easy till the midterm. After that, they go Super Saiyan mode and give hard af assignments. Very interesting tho. The profs are working hard on the online version."
The programming language (Scheme/Dr.Racket) wasn't a very good program to use but the concepts behind it are the same I guess ...,"Get the course notes and read through them if you're having any difficulty with any topics. Could probably just learn the whole course from the course notes, but lectures are still useful for examples and different methods. Lots of new stuff from high school, proofs scared the living daylights out of most before we got used to them, but it became easier with a bit of practice. Just a matter of getting used to the creative way of thinking. Very interesting course if you want to understand some number theory","Took it as a CSE, highest graded CSE course I have on record. Multiple choice midterm and final exams. Skipped couple lectures, but studying only the optional assignments and practice exams guaranteed a 100%","Easy introduction to mathematical thinking and proofs. Assignments were somewhat difficult and long but not worth very much, and were definitely good practice. Midterm was extremely easy and final was quite a bit trickier. Study the later content, and congruences and gcd, really well for the final. Also do the posted practice problems. It can also help to have a good prof in this course and/or read the textbook and most importantly, lots of practice with proofs every week.",hard as hell... get a tutor and pay attention in class. do the assignments on your own as much as possible,Do your assignments with a buddy. Was a bit difficult near the end but very rewarding course.,Hardest course I've taken yet. Manageable with ample studying and practicing though.,"I took this asynchronous so I can't say necessarily the same is true for in-person, but the course was overall really dry. As a disclaimer I never took econ before in high school. The course content had nonexistent explanations, motivation, applications, citations or justifications. It reminded me of memorisation-heavy high school courses that feed you information, never explaining why they are true or why you would ever need to know them. Some reviews below claim that most statements are common sense, but as someone who has never taken econ in high school, I find that there are several unjustified claims in the modules, such as ""why is ATC minimized when MC=AVC?"" I later found a proof of this using calculus, but nonetheless there is zero reason to expect this to be true using ""common sense"", nor was there any reasoning of this in the module. There were a lot of erroneous questions (like two MCQ choices are the same) on the quizzes, midterms and final, and you don't get the answers after each quiz, so overall the quality of the presentation and assessments were likewise nonexistent. They claim they hide the answers for copyright reasons but 90% of the questions can be found on quizlet. The textbook was completely unnecessary. Further, the prof's presence was nonexistent. First asynchronous course though, so I'm not sure if all asynchronous courses are as garbage as this one."
Easiest CS course this university has to offer. Basic math and you're good to go.,"Very insightful course. Great if you love number theory. Has more applications in pure math than in other areas, but useful nonetheless for proofs.","No assignments no quiz, just two midterms and a final for my section. Boring but quite easy.","Don’t be mistaken, this course is tough. It will teach you pretty much the foundations of UW mathematics. You need to listen and spend a lot of time just thinking about the problems. Take some time with the course and you’ll enjoy it a lot.","Keep up with the course work as there is a lot to catch up on if you fall behind. I also found the textbook extremely useful in this course, so I would recommend reading and taking down notes on every chapter to be better prepared for the three midterms and the final, you will be glad you did.",First half of the course was on proof techniques. The material covered was for the most part easy albeit a bit bland. Midterm was fairly straightforward as was the final exam.,"Even though Scheme was a very weird language, it was still an easy course overall, read the modules and you will do well.","Similar to the review before me, I took the online version. There are zero synchronous lectures, so be prepared to spend circa 3-5 hours every week trying to memorize the course content which is presented on UW Mobius. Another peculiarity of this course is the lack of any useful practice problems. The concept checks on UW Mobius are very elementary, and they are not a representation of what you will be evaluated on during the midterm and final exam. Although this course features weekly quizzes, you only have access to your grade after completing them. As a result, you will not be able to re-visit the weekly quizzes before the assessments to learn from your mistakes."
"Really good course, the base of cs245.",In my opinion one of the best run courses. Does a great job of introducing a new perspective on math.,Pretty sure you have to be retarded to fail this course. Casual course to boost GPA. Literally you can jerk off do w.e the f*** you want in class. Just review slides b4 midterm/exam and your gucci.,"Really good course, make sure you do a lot of practice. But watch out, you're professor can dramatically impact your experience in this course.","Just read the textbook and slides, actual lectures seems to be pretty useless","This is most definitely the hardest course I had in 1A. I guess I'm not really a proofs person. I would definitely recommend going to tutoring in residence - it's very useful for completing assignments and generally understanding some of the material. If you don't understand what the prof is talking about in class, make sure you clarify with them. Get help when you need it before it's too late.",I wouldn't say it was an easy course but it is definitely manageable. Midterm was not easy but finals was quite light. Definitely the course I enjoyed the most as I learned a lot.,"Jokes class. Took it with a prof who does nothing from the textbook and I swear he made up the whole course. Midterms and final are an easy 90, if not 110"
Really easy. I had no previous coding experience and I picked it up the concepts super quickly. You have to go to class though. Slides are NOT enough,"A difficult course coming from high school. The proof techniques are definitely useful to know if you're heading into Pure Math or something, but less relevant to a CS major. Nice to know, still. Makes me feel smarter.","Really easy and useful to know, all exams are multiple choice :) very useful for understanding political platforms and world issues (also just useful if you want to do anything in business)",Very interesting course. Demands a lot but teaches a lot as well,"This course does not test one's ability to study. This course tests once's ability to think. As such, to do well in the course, you'd better just be a naturally smart person, or else you are going to have to slog away at practice problems for dayss","Tough class, especially coming right from high school. The material is really cool, though, and the class is hugely important for all future math classes you'd take. (This is based on the Fall 2009 offering; it's changed a bit since then)",It is a useful course but definitely not easy if you never prove before.,Course is super easy
"Joke course if you're a CS major who is taking it just to get a good CAV (to transfer from regular to co-op, that is).","Standard introduction to the common proof techniques. Depending on your background in Math, you may find this course very easy or very hard.","I only went to 3 lectures the entire semester. Works well if you only get multiple choice exams. It's neoclassical microeconomics, so it can only get so useful since no one is the perfect, rational human being.","Very challenging course with a lot of content - requires a lot of work, but it's definitely useful and interesting for future courses.","As a math students, much of my time was wasted in this course. We had lectures on basic knowledge such as how to calculate the slope of a line and how to read a graph. A waste of my time. Should have taken my transfer credit from AP.",Pretty cool course. They teach you a bunch of number theory and a lot of it is very interesting.,Very interesting and useful course. Pay attention to the lectures as some of the content will show up in upper year math courses.,"where do I even start, horrible prof, horrible class, made no effort to teach, everything was taught through reading the textbook, the class was made up of weekly quizzes, a midterm, and exam, which were all BS. The only reason I did good was that I took Econ in high school lol."
good intro to proofs,"Difficult course coming out of high school. The computational stuff wasn't bad (just involved practice) but, as others have said, proofs were the tough. I think the whole idea is to transition your mind from just computational/plug and play mathematics (the only kind you get exposed to in high school) to more creative thinking based mathematics.",Easy bird course. Multiple choice ftw.,"Was a nice way to learn recursion, which is essentially the purpose of this course. They also give a lot of free marks with a 3% lab bonus - DO THEM! That 3% can make a big difference in your mark.","Classes teach you nothing. Getting and reading the textbook is a must! I sat for three hours trying to keep up with the graphs being drawn and didn't have any time to comprehend what was being said. Nafeez doesn't allow photos to be taken of her notes so you couldn't even take a picture to give you time to listen. Unless you have some sort of economic background, you will be struggling through teaching yourself this course.",Probably my favourite course in 1A. Easy to do well in the course and the staff put the learning materials together really well. Really enjoyed this course since it teaches you about the art of problem-solving and the creative components of mathematics. If you stay on top of the material and start the psets early enough you'll do well.,Pretty easy course overall! I stopped going to labs about three weeks in and still managed to get the bonus 3%. The assignments were relatively easy (with one or two exceptions).,"I found this course to be quite difficult, but my profs, Yu Ru Liu and Wentang Kuo, made it bearable with their office hours; 10/10 will take any course with either of them again!"
Please be very careful about the design recipe (especially tests and examples),"The first part is useful, it shows me some justifications on what is different from what I learned in high school (something like 0^0=1). The second part is annoying, since I didn't learn number theory in high school, so it's hard for me to cope with difficult questions. When it goes to Prime Number, there are questions I have no idea to get full marks (question itself is easy to answer, but no idea how to avoid losing partial marks, fortunately, TAs are willing to give full marks) The third part RSA (application on number theory) is really interesting. Overall, easy course with a high grade because there are 2 free bonus marks. The final exam is hard. Some questions you have no idea how to get full marks even if you know how to solve them. If you have done many proofs in high school, easy 90+ as an online course. Just using Excel to make a calculator. EEA helps a lot.",Strongly recommend purchasing Aplia. A bad midterm grade can nerf your mark since they go for 25% apiece.,The most difficult course in my 1A. Really suffered.,"I found this course to be very challenging. might have been because I did not like my profs teaching style. proofs were nothing I have done or seen before so math135 was very new to me. the textbook isn't very useful to learn how to come up with proofs that were on any of the assessments. the weekly assignments were extremely difficult and took the average student around 5-10 hours a week to complete. weekly quizzes were good to assess textbook understanding. as someone who struggled in this course, i have to say the responses on piaaza were essentially useless when i asked questions about the course content, their response everything was a direct quotation from the textbook, or if they were feeling extra lazy would just say 'look at the course notes'.",The first half of the course was super easy and then the course took a turn for the worst. The quizzes are pretty easy but the assignments can be extremely tough - so I suggest that you do not start them at the last minute.,"As someone who was nervous about proofs going into the course, I found that this course introduced them well! While I struggled with some of the concepts, I found proving things to be fun and sometimes even satisfying.","Avoid the online course but, it has a nice bell curve"
